Referencia;Descripcion;PVP;NETOS;NETOS_GRANDE_CUENTAS;CANTIDAD;PRECIO_ESTANDAR;CONDICIONES_NETO;CONDICION_NETO_GC;PRECIO_GRUPO1;PRECIO_GRUPO3;PRECIO_CECOFERSA
0104C;Cartel PVC 96x48 Fotolum Salida flecha abajo;17,92;;;;8,96;Sin precio neto;Sin precio neto G.C.;8,6016;8,96;8,6016
105;Cartel PVC 21x29 Fotolum. SALIDA-EXIT;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0105A;Cartel PVC 32x16 Fotolum. Salida-Exit;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0105B;Cartel PVC 64x32 Fotolum. Salida-Exit;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
0105C;Cartel PVC 96x48 Fotolum. Salida-Exit;17,92;;;;8,96;Sin precio neto;Sin precio neto G.C.;8,6016;8,96;8,6016
106;Cartel PVC 21x29 Fotolum. SALIDA EMERG. FLECHA DCHA;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0106A;Cartel PVC 32x16 Fotolum. Salida de emergencia + flecha;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0106B;Cartel PVC 64x32 Fotolum. Salida de emergencia + flecha;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
0106C;Cartel PVC 96x48 Fotolum. Salida de emergencia + flecha;17,92;;;;8,96;Sin precio neto;Sin precio neto G.C.;8,6016;8,96;8,6016
107;Cartel PVC 21x29 Fotolum. SALIDA EMERG. FLECHA IZQ.;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0107A;Cartel PVC 32x16 Fotolum. Salida de emergencia + flecha izq;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0107B;Cartel PVC 64x32 Fotolum. Salida de emergencia + flecha izq;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
0107C;Cartel PVC 96x48 Fotolum. Salida de emergencia + flecha izq;17,92;;;;8,96;Sin precio neto;Sin precio neto G.C.;8,6016;8,96;8,6016
108;Cartel PVC 21X29 Fotolum. ESCALERA EMERG. FLECHA;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0108A;Cartel PVC 32x16 Fotolum. Escal. de emergencia + flecha;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0108B;Cartel PVC 64x32 Fotolum. Escal. de emergencia + flecha;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
0108C;Cartel PVC 96x48 Fotolum. Escal. de emergencia + flecha;17,92;;;;8,96;Sin precio neto;Sin precio neto G.C.;8,6016;8,96;8,6016
109;Cartel PVC 21x29 Fotolum. ESCALERA EMERG. FLECHA;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0109A;Cartel PVC 32x16 Fotolum. Escal. de emergencia + flecha izq.;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0109B;Cartel PVC 64x32 Fotolum. Escal. de emergencia + flecha izq.;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
0109C;Cartel PVC 96x48 Fotolum. Escal. de emergencia + flecha izq.;17,92;;;;8,96;Sin precio neto;Sin precio neto G.C.;8,6016;8,96;8,6016
110;Cartel PVC 21x29 Fotolum. No utilizar en caso de incendio;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0116V;Vinilo Adhesivo suelo Dir. Peatonal 40 cm;12,3;;;;6,15;Sin precio neto;Sin precio neto G.C.;5,904;6,15;5,904
0150A;Cartel PVC 21x21 Fotolum. Pulsador de alarma;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0150B;Cartel PVC 42x42 Fotolum. Pulsador de alarma;7,8;;;;3,9;Sin precio neto;Sin precio neto G.C.;3,744;3,9;3,744
0150C;Cartel PVC 63x63 Fotolum. Pulsador de alarma;12,5;;;;6,25;Sin precio neto;Sin precio neto G.C.;6;6,25;6
151;Cartel PVC 21x21 Fotolum. EXTINTOR IZQUIERDA;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0151A;Cartel PVC 21x21 Fotolum. Carro extintor;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0151B;Cartel PVC 42x42 Fotolum. Carro extintor;7,8;;;;3,9;Sin precio neto;Sin precio neto G.C.;3,744;3,9;3,744
0151C;Cartel PVC 63x63 Fotolum. Carro extintor;12,5;;;;6,25;Sin precio neto;Sin precio neto G.C.;6;6,25;6
152;Cartel PVC 21x21 Fotolum. EXTINTOR ABAJO;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0152A;Cartel PVC 21x21 Fotolum. Escalera;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0152B;Cartel PVC 42x42 Fotolum. Escalera;7,8;;;;3,9;Sin precio neto;Sin precio neto G.C.;3,744;3,9;3,744
0152C;Cartel PVC 63x63 Fotolum. Escalera;12,5;;;;6,25;Sin precio neto;Sin precio neto G.C.;6;6,25;6
153;Cartel PVC 21x21 Fotolum. PULSADOR;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0153A;Cartel PVC 21x21 Fotolum. Flecha abajo derecha;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0153B;Cartel PVC 42x42 Fotolum. Flecha abajo derecha;7,8;;;;3,9;Sin precio neto;Sin precio neto G.C.;3,744;3,9;3,744
0153C;Cartel PVC 63x63 Fotolum. Flecha abajo derecha;12,5;;;;6,25;Sin precio neto;Sin precio neto G.C.;6;6,25;6
154;Cartel PVC 21x21 Fotolum. PULSADOR IZQUIERDA;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0154A;Cartel PVC 21x21 Fotolum. Flecha abajo izquierda;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0154B;Cartel PVC 42x42 Fotolum. Flecha abajo izquierda;7,8;;;;3,9;Sin precio neto;Sin precio neto G.C.;3,744;3,9;3,744
0154C;Cartel PVC 21x21 Fotolum. Flecha abajo izquierda;12,5;;;;6,25;Sin precio neto;Sin precio neto G.C.;6;6,25;6
155;Cartel PVC 21x21 Fotolum. PULSADOR DERECHA;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
160;Cartel PVC 21x21 Fotolum. PUERTA EMERGENCIA IZQ.;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0160A;Cartel PVC 21x21 Fotolum. Salida emergencia izquierda;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0160B;Cartel PVC 42x42 Fotolum. Salida emergencia izquierda;7,8;;;;3,9;Sin precio neto;Sin precio neto G.C.;3,744;3,9;3,744
0160C;Cartel PVC 63x63 Fotolum. Salida emergencia izquierda;12,5;;;;6,25;Sin precio neto;Sin precio neto G.C.;6;6,25;6
161;Cartel PVC 21x21 Fotolum. PUERTA EMERGENCIA;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0161A;Cartel PVC 21x21 Fotolum. Salida emergencia derecha;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0161B;Cartel PVC 42x42 Fotolum. Salida emergencia derecha;7,8;;;;3,9;Sin precio neto;Sin precio neto G.C.;3,744;3,9;3,744
0161C;Cartel PVC 63x63 Fotolum. Salida emergencia derecha;12,5;;;;6,25;Sin precio neto;Sin precio neto G.C.;6;6,25;6
162;Cartel PVC 21x21 Fotolum. PUERTA-ESCALERA EMERG. IZ;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0162A;Cartel PVC 21x21 Fotolum. flecha izquierda;2,5;;;;1,25;Sin precio neto;Sin precio neto G.C.;1,2;1,25;1,2
0162B;Cartel PVC 42x42 Fotolum. flecha izquierda;7,8;;;;3,9;Sin precio neto;Sin precio neto G.C.;3,744;3,9;3,744
0162C;Cartel PVC 63x63 Fotolum. flecha izquierda;12,5;;;;6,25;Sin precio neto;Sin precio neto G.C.;6;6,25;6
163;Cartel PVC 21x21 Fotolum. PUERTA-ESCALERA EMERG.;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0163A;Cartel PVC 21x21 Fotolum. flecha derecha;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
0163B;Cartel PVC 42x42 Fotolum. flecha derecha;7,8;;;;3,9;Sin precio neto;Sin precio neto G.C.;3,744;3,9;3,744
0163C;Cartel PVC 63x63 Fotolum. flecha derecha;12,5;;;;6,25;Sin precio neto;Sin precio neto G.C.;6;6,25;6
164;Cartel PVC 21x21 Fotolum. EMPUJAR BARRA APERTURA;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
165;Cartel PVC 21x21 Fotolum. FLECHA;4,62;;;;2,31;Sin precio neto;Sin precio neto G.C.;2,2176;2,31;2,2176
175;Cartel PVC 30x10 Fotolum. SALIDA;3,78;;;;1,89;Sin precio neto;Sin precio neto G.C.;1,8144;1,89;1,8144
176;Cartel PVC 30x10 Fotolum. SALIDA FLECHA DCHA;3,78;;;;1,89;Sin precio neto;Sin precio neto G.C.;1,8144;1,89;1,8144
177;Cartel PVC 30x10 Fotolum. SALIDA FLECHA IZQ.;3,78;;;;1,89;Sin precio neto;Sin precio neto G.C.;1,8144;1,89;1,8144
178;Cartel PVC 30x10 Fotolum. SALIDA FLECHA ARRIBA;3,78;;;;1,89;Sin precio neto;Sin precio neto G.C.;1,8144;1,89;1,8144
179;Cartel PVC 30x10 Fotolum. SALIDA FLECHA ABAJO;3,78;;;;1,89;Sin precio neto;Sin precio neto G.C.;1,8144;1,89;1,8144
180;Cartel PVC 30x10 Fotolum. SALIDA EMERGENCIA FLECHA;3,78;;;;1,89;Sin precio neto;Sin precio neto G.C.;1,8144;1,89;1,8144
181;Cartel PVC 30x10 Fotolum. SALIDA EMERGENCIA FLECHA;3,78;;;;1,89;Sin precio neto;Sin precio neto G.C.;1,8144;1,89;1,8144
182;Cartel PVC 30x10 Fotolum. FLECHA;3,78;;;;1,89;Sin precio neto;Sin precio neto G.C.;1,8144;1,89;1,8144
183;Cartel PVC 30x10 Fotolum. SALIDA DE EMERGENCIA;3,78;;;;1,89;Sin precio neto;Sin precio neto G.C.;1,8144;1,89;1,8144
184;Cartel PVC 650x105 mm SALIDA DE EMERGENCIA;3,78;;;;1,89;Sin precio neto;Sin precio neto G.C.;1,8144;1,89;1,8144
199;Cartel PVC 21x29 Fotolum. DUCHA DE EMERGENCIA;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0199A;Cartel PVC 21x30 Fotolum. ducha de emergencia;5,04;2,1;2,1;1;2,52;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,4192;2,52;2,4192
0199B;Cartel PVC 40x30 Fotolum. ducha de emergencia;6,2;3,2;3,2;1;3,1;Neto: 003 € (a partir de 1 uds.);Neto G.C.: 003 € (a partir de 1 uds.);2,976;3,1;2,976
0200/G;Señal Poliprop. Amarillo 50x50 c/ollados + Pictograma;19,2;;;;9,6;Sin precio neto;Sin precio neto G.C.;9,216;9,6;9,216
0200S2130;Soperte Acero Inox para cartel 21x29 cm;29;;;;14,5;Sin precio neto;Sin precio neto G.C.;13,92;14,5;13,92
0200S4030;Soporte Acero Inox para Cartel 40x30 cm;34;;;;17;Sin precio neto;Sin precio neto G.C.;16,32;17;16,32
201;Cartel PVC 40x30 Fotolum. EXTINTOR;6,7;;;;3,35;Sin precio neto;Sin precio neto G.C.;3,216;3,35;3,216
202;Cartel PVC 21x30 Fotolum. Duchas emergencia derecha;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
203;Cartel PVC 21x30 Fotolum. Duchas emergencia izq.;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0204A;Cartel PVC 21x30 Fotolum. Oficina;5,04;2,1;2,1;1;2,52;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,4192;2,52;2,4192
0204B;Cartel PVC 40x30 Fotolum. Oficina;6,2;3,2;3,2;1;3,1;Neto: 003 € (a partir de 1 uds.);Neto G.C.: 003 € (a partir de 1 uds.);2,976;3,1;2,976
0205A;Cartel PVC 21x30 Fotolum. Ducha;5,04;2,1;2,1;1;2,52;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,4192;2,52;2,4192
0205B;Cartel PVC 40x30 Fotolum. Ducha;6,2;3,2;3,2;1;3,1;Neto: 003 € (a partir de 1 uds.);Neto G.C.: 003 € (a partir de 1 uds.);2,976;3,1;2,976
206;Cartel PVC 21x30 Fotolum. Lavaojos emerg. derecha;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0206A;Cartel PVC 21x30 Fotolum. Lavaojos de emergencia;5,04;2,1;2,1;1;2,52;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,4192;2,52;2,4192
0206B;Cartel PVC 40x30 Fotolum. Lavaojos de emergencia;6,2;3,2;3,2;1;3,1;Neto: 003 € (a partir de 1 uds.);Neto G.C.: 003 € (a partir de 1 uds.);2,976;3,1;2,976
207;Cartel PVC 21x30 Fotolum. Lavaojos emerg. izq.;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0208A;Cartel PVC 21x30 Fotolum. Comedor;5,04;2,1;2,1;1;2,52;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,4192;2,52;2,4192
0208B;Cartel PVC 40x30 Fotolum. Comedor;6,2;3,2;3,2;1;3,1;Neto: 003 € (a partir de 1 uds.);Neto G.C.: 003 € (a partir de 1 uds.);2,976;3,1;2,976
0209A;Cartel PVC 21x30 Fotolum. Vestuario;5,04;2,1;2,1;1;2,52;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,4192;2,52;2,4192
0209B;Cartel PVC 40x30 Fotolum. Vestuario;6,2;3,2;3,2;1;3,1;Neto: 003 € (a partir de 1 uds.);Neto G.C.: 003 € (a partir de 1 uds.);2,976;3,1;2,976
210;Cartel PVC 40x30 Riesgo electrico;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0210P;Cartel PVC 21x29 RIESGO ELECTRICO;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
211;Cartel PVC 40x30 Carga suspendida;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0211P;Cartel PVC 21x29 RIESGO CARGA SUSPENDIDA;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
212;Cartel PVC 40x30 Materias corrosivas;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0212P;Cartel PVC 21x29 RIESGO MATERIAS CORROSIVAS;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
213;Cartel PVC 40x30 Vehículo Manutención;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0213P;Cartel PVC 21x29 VEHICULOS DE MANUTENCION;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
214;Cartel PVC 40x30 Caida distinto nivel;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0214P;Cartel PVC 21x29 CAIDA A DISTINTO NIVEL;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
215;Cartel PVC 40x30 Riesgo tropezar;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0215P;Cartel PVC 21x29 RIESGO DE TROPEZAR;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
216;Cartel PVC 40x30 Materias comburentes;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0216P;Cartel PVC 21x29 MATERIAS COMBURENTES;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
217;Cartel PVC 40x30 Materias Toxicas;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0217P;Cartel PVC 21x29 MATERIAS TOXICAS;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
218;Cartel PVC 40x30 Campo Magnetico;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0218P;Cartel PVC 21x29 CAMPO MAGNETICO INTENSO;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
219;Cartel PVC 40x30 Materias Inflamables;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0219P;Cartel PVC 21x29 MATERIAS INFLAMABLES;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
220;Cartel PVC 40x30 OBLIG.USO CASC+;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0220P;Cartel PVC 21x29 USO OBLIGATORIO DEL CASCO;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
221;Cartel PVC 40x30 OBLIG.USO BOTA+;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0221P;Cartel PVC 21x29 USO OBLIGATORIO DE LAS BOTAS;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
222;Cartel PVC 40x30 OBLIG.USO GUAN+E;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0222P;Cartel PVC 21x29 USO OBLIGATORIO DE GUANTES;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
223;Cartel PVC 40x30 OBLIG.PROT.ACU+T;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0223P;Cartel PVC 21x29 USO OBLIGATORIO PROTECCION;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
224;Cartel PVC 40x30 OBLIG.USO MASC +;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0224P;Cartel PVC 21x29 OBLIGATORIO EL USO DE LA MASCARA;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
225;Cartel PVC 40x30 OBLIG.PANT.PRO+E;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0225P;Cartel PVC 21x29 OBLIGATORIO USO PANTALLA;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
226;Cartel PVC 40x30 OBLIG.GAFAS PROT;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0226P;Cartel PVC 21x29 OBLIGATORIO EL USO GAFAS;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
227;Cartel PVC 40x30 OBLIG.ARNES SEGUR.;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0227P;Cartel PVC 21x29 OBLIGATORIO EL USO ARNES;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
228;Cartel PVC 40x30 PROTECION OBLIGAT.CUERPO;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0228P;Cartel PVC 21x29 USO PROTECCION OBLIGATORIA DEL;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
229;Cartel PVC 40x30 Eliminar puntas;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0229P;Cartel PVC 21x29 OBLIGATORIO ELIMINAR LAS PUNTAS;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
230;Cartel PVC 40x30 PROHIBIDO FUMA+;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0230P;Cartel 21X29 PROHIBIDO FUMAR;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
231;Cartel PVC 40x30 PROHIBIDO PASO+;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0231P;Cartel PVC 21X29 PROHIBIDO PASO PERSONA AJENA;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
232;Cartel PVC 40x30 Proh. pasar sin casco;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
